# t_ms current_uA voltage_uV
1778850249474 -298000 4365000
1778850249756 -308000 4363000
1778850250040 -313000 4363000
1778850250340 -318000 4363000
1778850250621 -315000 4363000
1778850250908 -318000 4357000
1778850251179 -315000 4357000
1778850251464 -324000 4357000
1778850251734 -327000 4364000
1778850252000 -317000 4364000
1778850252279 -302000 4364000
1778850252558 -300000 4364000
1778850252822 -301000 4363000
1778850253083 -314000 4363000
1778850253357 -318000 4363000
1778850253627 -315000 4363000
1778850253912 -313000 4357000
1778850254182 -310000 4357000
1778850254464 -316000 4357000
1778850254738 -318000 4364000
1778850255009 -317000 4364000
1778850255282 -311000 4364000
1778850255564 -313000 4364000
1778850255840 -316000 4363000
1778850256111 -314000 4363000
1778850256385 -316000 4363000
1778850256648 -315000 4363000
1778850256936 -318000 4357000
1778850257206 -317000 4357000
1778850257483 -316000 4357000
1778850257760 -296000 4364000
1778850258043 -293000 4364000
1778850258337 -291000 4364000
1778850258625 -299000 4364000
1778850258901 -320000 4358000
1778850259190 -329000 4358000
1778850259470 -333000 4358000
1778850259755 -303000 4364000
1778850260031 -293000 4364000
1778850260324 -292000 4364000
1778850260623 -300000 4364000
1778850260913 -307000 4356000
1778850261215 -308000 4356000
1778850261491 -289000 4356000
1778850261767 -286000 4363000
1778850262043 -286000 4363000
1778850262337 -299000 4363000
1778850262605 -311000 4363000
1778850262882 -326000 4357000
1778850263160 -329000 4357000
1778850263448 -322000 4357000
1778850263734 -320000 4363000
1778850264014 -299000 4363000
1778850264298 -304000 4363000
1778850264584 -303000 4363000
1778850264873 -311000 4361000
1778850265158 -314000 4361000
1778850265442 -307000 4361000
1778850265730 -307000 4359000
1778850266012 -304000 4359000
1778850266280 -303000 4359000
1778850266561 -305000 4359000
1778850266842 -309000 4362000
1778850267124 -319000 4362000
1778850267410 -321000 4362000
1778850267700 -324000 4362000
1778850267974 -318000 4363000
1778850268236 -307000 4363000
1778850268509 -311000 4363000
1778850268793 -307000 4363000
1778850269081 -302000 4363000
1778850269365 -286000 4363000
1778850269661 -292000 4363000
1778850269964 -289000 4362000
1778850270275 -270000 4362000
1778850270565 -268000 4362000
1778850270855 -276000 4362000
1778850271161 -281000 4362000
1778850271429 -289000 4362000
1778850271695 -291000 4362000
1778850271982 -280000 4363000
1778850272270 -267000 4363000
1778850272566 -262000 4363000
1778850272862 -263000 4362000
1778850273159 -268000 4362000
1778850273444 -272000 4362000
1778850273730 -278000 4362000
1778850273999 -284000 4362000
1778850274291 -290000 4362000
1778850274586 -286000 4362000
1778850274878 -285000 4361000
1778850275156 -283000 4361000
1778850275444 -278000 4361000
1778850275746 -275000 4363000
1778850276041 -275000 4363000
1778850276325 -275000 4363000
1778850276626 -273000 4363000
1778850276942 -277000 4360000
1778850277243 -269000 4360000
1778850277534 -266000 4360000
1778850277816 -279000 4362000
1778850278122 -283000 4362000
1778850278404 -289000 4362000
1778850278694 -303000 4363000
1778850278992 -287000 4363000
1778850279298 -292000 4363000
1778850279598 -279000 4363000
1778850279899 -283000 4360000
1778850280203 -287000 4360000
1778850280499 -270000 4360000
1778850280792 -264000 4363000
1778850281084 -262000 4363000
1778850281376 -264000 4363000
1778850281665 -269000 4363000
1778850281982 -264000 4361000
1778850282275 -272000 4361000
1778850282557 -273000 4361000
1778850282831 -286000 4362000
1778850283119 -292000 4362000
1778850283411 -293000 4362000
1778850283704 -321000 4359000
1778850284002 -350000 4359000
1778850284291 -366000 4359000
1778850284585 -359000 4359000
1778850284856 -351000 4359000
1778850285147 -352000 4359000
1778850285429 -345000 4359000
1778850285710 -337000 4361000
