# t_ms current_uA voltage_uV
1778849955147 -351000 4366000
1778849955434 -319000 4366000
1778849955715 -306000 4366000
1778849955991 -290000 4369000
1778849956271 -274000 4369000
1778849956562 -255000 4369000
1778849956850 -254000 4369000
1778849957128 -253000 4369000
1778849957410 -258000 4369000
1778849957699 -262000 4369000
1778849957984 -262000 4370000
1778849958267 -260000 4370000
1778849958552 -275000 4370000
1778849958840 -277000 4369000
1778849959123 -279000 4369000
1778849959392 -276000 4369000
1778849959667 -264000 4369000
1778849959944 -265000 4369000
1778849960225 -264000 4369000
1778849960507 -263000 4369000
1778849960785 -260000 4369000
1778849961056 -262000 4365000
1778849961342 -262000 4365000
1778849961625 -277000 4365000
1778849961892 -282000 4369000
1778849962170 -282000 4369000
1778849962439 -287000 4369000
1778849962718 -270000 4369000
1778849962998 -277000 4368000
1778849963285 -268000 4368000
1778849963567 -266000 4368000
1778849963852 -258000 4369000
1778849964125 -260000 4369000
1778849964405 -265000 4369000
1778849964682 -267000 4369000
1778849964965 -270000 4368000
1778849965255 -267000 4368000
1778849965563 -252000 4368000
1778849965854 -249000 4368000
1778849966141 -250000 4368000
1778849966436 -260000 4368000
1778849966726 -266000 4368000
1778849967002 -273000 4366000
1778849967286 -271000 4366000
1778849967571 -266000 4366000
1778849967851 -267000 4366000
1778849968156 -263000 4368000
1778849968443 -265000 4368000
1778849968729 -264000 4368000
1778849969018 -261000 4366000
1778849969302 -253000 4366000
1778849969577 -255000 4366000
1778849969870 -255000 4369000
1778849970171 -259000 4369000
1778849970466 -262000 4369000
1778849970758 -261000 4369000
1778849971033 -257000 4365000
1778849971312 -257000 4365000
1778849971609 -266000 4365000
1778849971903 -271000 4366000
1778849972196 -275000 4366000
1778849972483 -281000 4366000
1778849972778 -351000 4366000
1778849973044 -388000 4350000
1778849973316 -384000 4350000
1778849973589 -382000 4350000
1778849973871 -308000 4366000
1778849974158 -279000 4366000
1778849974440 -280000 4366000
1778849974719 -279000 4366000
1778849974998 -278000 4366000
1778849975295 -364000 4366000
1778849975576 -363000 4366000
1778849975863 -369000 4367000
1778849976133 -319000 4367000
1778849976414 -280000 4367000
1778849976692 -290000 4367000
1778849976973 -284000 4366000
1778849977267 -323000 4366000
1778849977551 -360000 4366000
1778849977858 -357000 4367000
1778849978141 -362000 4367000
1778849978439 -318000 4367000
1778849978731 -279000 4367000
1778849979006 -282000 4365000
1778849979287 -275000 4365000
1778849979587 -307000 4365000
1778849979884 -368000 4367000
1778849980156 -381000 4367000
1778849980444 -384000 4367000
1778849980757 -280000 4367000
1778849981059 -267000 4364000
1778849981356 -263000 4364000
1778849981638 -267000 4364000
1778849981919 -298000 4355000
1778849982198 -382000 4355000
1778849982487 -383000 4355000
1778849982757 -381000 4355000
1778849983036 -324000 4359000
1778849983325 -361000 4359000
1778849983599 -381000 4359000
1778849983881 -385000 4362000
1778849984159 -395000 4362000
1778849984437 -477000 4362000
1778849984719 -473000 4362000
1778849984996 -459000 4362000
1778849985289 -329000 4362000
1778849985570 -327000 4362000
1778849985860 -325000 4364000
1778849986141 -326000 4364000
1778849986434 -323000 4364000
1778849986709 -318000 4364000
1778849986990 -317000 4364000
1778849987277 -290000 4364000
1778849987577 -275000 4364000
1778849987871 -258000 4366000
1778849988166 -255000 4366000
1778849988456 -260000 4366000
1778849988749 -269000 4366000
1778849989029 -267000 4362000
1778849989328 -260000 4362000
1778849989610 -253000 4362000
1778849989899 -257000 4365000
1778849990198 -261000 4365000
1778849990490 -265000 4365000
1778849990780 -254000 4365000
1778849991046 -256000 4363000
1778849991312 -256000 4363000
1778849991598 -258000 4363000
1778849991879 -273000 4365000
1778849992160 -271000 4365000
1778849992432 -271000 4365000
1778849992717 -271000 4365000
1778849992999 -264000 4364000
1778849993266 -259000 4364000
1778849993540 -256000 4364000
1778849993835 -255000 4366000
1778849994142 -256000 4366000
1778849994419 -262000 4366000
1778849994687 -267000 4366000
1778849994979 -266000 4365000
1778849995251 -277000 4365000
1778849995522 -270000 4365000
1778849995793 -270000 4365000
1778849996077 -258000 4364000
1778849996373 -260000 4364000
1778849996670 -261000 4364000
1778849996959 -274000 4366000
1778849997275 -271000 4366000
1778849997574 -269000 4366000
1778849997862 -257000 4366000
1778849998167 -258000 4366000
1778849998460 -259000 4366000
1778849998759 -263000 4366000
1778849999055 -263000 4363000
1778849999354 -264000 4363000
1778849999636 -254000 4363000
1778849999930 -259000 4366000
1778850000206 -263000 4366000
1778850000483 -353000 4366000
1778850000770 -364000 4366000
1778850001066 -367000 4363000
1778850001368 -277000 4363000
1778850001659 -264000 4363000
1778850001959 -266000 4366000
1778850002246 -260000 4366000
1778850002517 -255000 4366000
1778850002802 -256000 4366000
1778850003094 -256000 4365000
1778850003364 -259000 4365000
1778850003650 -262000 4365000
1778850003945 -262000 4366000
1778850004198 -361000 4366000
1778850004467 -496000 4366000
1778850004743 -731000 4366000
