# t_ms current_uA voltage_uV
1778849783288 -166000 4374000
1778849783555 -168000 4374000
1778849783818 -174000 4374000
1778849784099 -185000 4372000
1778849784396 -182000 4372000
1778849784667 -183000 4372000
1778849784940 -186000 4374000
1778849785200 -192000 4374000
1778849785482 -193000 4374000
1778849785746 -192000 4374000
1778849786026 -191000 4374000
1778849786286 -189000 4374000
1778849786581 -188000 4374000
1778849786858 -185000 4374000
1778849787138 -185000 4369000
1778849787420 -188000 4369000
1778849787691 -195000 4369000
1778849787951 -197000 4374000
1778849788240 -195000 4374000
1778849788521 -193000 4374000
1778849788794 -188000 4374000
1778849789080 -187000 4372000
1778849789368 -181000 4372000
1778849789637 -180000 4372000
1778849789928 -179000 4374000
1778849790195 -182000 4374000
1778849790486 -185000 4374000
1778849790791 -186000 4374000
1778849791077 -185000 4373000
1778849791381 -179000 4373000
1778849791671 -177000 4373000
1778849791982 -179000 4374000
1778849792267 -184000 4374000
1778849792549 -188000 4374000
1778849792815 -189000 4374000
1778849793087 -182000 4371000
1778849793387 -179000 4371000
1778849793670 -181000 4371000
1778849793942 -182000 4373000
1778849794220 -184000 4373000
1778849794487 -187000 4373000
1778849794774 -186000 4373000
1778849795046 -187000 4373000
1778849795335 -185000 4373000
1778849795623 -180000 4373000
1778849795926 -180000 4373000
1778849796209 -178000 4373000
1778849796504 -182000 4373000
1778849796778 -186000 4373000
1778849797052 -187000 4373000
1778849797322 -190000 4373000
1778849797621 -189000 4373000
1778849797896 -187000 4373000
1778849798181 -187000 4373000
1778849798474 -188000 4373000
1778849798760 -191000 4373000
1778849799062 -190000 4372000
1778849799357 -176000 4372000
1778849799622 -175000 4372000
1778849799919 -176000 4374000
1778849800198 -178000 4374000
1778849800485 -184000 4374000
1778849800758 -186000 4374000
1778849801045 -186000 4373000
1778849801320 -187000 4373000
1778849801625 -178000 4373000
1778849801926 -178000 4373000
1778849802197 -179000 4373000
1778849802485 -185000 4373000
1778849802757 -189000 4373000
1778849803055 -189000 4373000
1778849803352 -177000 4373000
1778849803628 -176000 4373000
1778849803895 -177000 4373000
1778849804165 -180000 4372000
1778849804459 -186000 4372000
1778849804757 -187000 4372000
1778849805053 -187000 4373000
1778849805351 -179000 4373000
1778849805657 -178000 4373000
1778849805947 -177000 4373000
1778849806247 -181000 4373000
1778849806533 -183000 4373000
1778849806841 -179000 4373000
1778849807111 -178000 4370000
1778849807386 -179000 4370000
1778849807669 -186000 4370000
1778849807958 -189000 4373000
1778849808235 -190000 4373000
1778849808537 -190000 4373000
1778849808821 -185000 4373000
1778849809119 -178000 4371000
1778849809427 -176000 4371000
1778849809720 -177000 4371000
1778849810006 -180000 4373000
1778849810310 -184000 4373000
1778849810599 -180000 4373000
1778849810890 -177000 4372000
1778849811193 -179000 4372000
1778849811489 -180000 4372000
1778849811775 -185000 4372000
1778849812070 -186000 4371000
1778849812373 -178000 4371000
1778849812661 -181000 4371000
1778849812928 -181000 4372000
1778849813225 -183000 4372000
1778849813515 -189000 4372000
1778849813806 -187000 4372000
1778849814092 -180000 4370000
1778849814395 -177000 4370000
1778849814694 -177000 4370000
1778849814999 -178000 4372000
1778849815313 -183000 4372000
1778849815577 -180000 4372000
1778849815862 -177000 4372000
1778849816151 -177000 4372000
1778849816417 -179000 4372000
1778849816727 -182000 4372000
1778849816998 -197000 4372000
1778849817288 -197000 4372000
1778849817568 -197000 4372000
1778849817868 -184000 4372000
